region,year,tourism_nights,gdp,population,temperature,precipitation
AL01,2018.0,199081.0,2939.04,819793.0,12.073321,1041.8892
AL01,2019.0,259910.0,3121.44,813758.0,11.967571,891.8104
AL01,2020.0,148755.0,2907.94,804689.0,11.721833,865.5977
AL01,2021.0,206227.0,3389.55,797955.0,11.20598,1087.7075
AL01,2022.0,261012.0,4088.34,783970.0,11.735918,948.7667
AL01,2023.0,467356.0,4887.89,771020.0,12.157991,1039.6766
AL02,2018.0,269005.0,6397.56,1162544.0,13.601003,340.0116
AL02,2019.0,329702.0,6880.32,1170142.0,13.461976,249.06349
AL02,2020.0,164554.0,6821.56,1176240.0,13.267421,231.18973
AL02,2021.0,245447.0,7676.94,1178435.0,13.063329,327.19327
AL02,2022.0,372722.0,9082.9,1178623.0,13.520681,241.69731
AL02,2023.0,514057.0,10920.77,1177987.0,13.812347,309.04675
AL03,2018.0,336095.0,3680.25,887987.0,14.651146,1109.7985
AL03,2019.0,425425.0,3916.11,878527.0,14.417924,892.292
AL03,2020.0,416350.0,3650.03,865026.0,14.298354,741.519
AL03,2021.0,624934.0,4176.62,853351.0,14.268531,1095.396
AL03,2022.0,604128.0,4896.86,830999.0,14.520813,795.31573
AL03,2023.0,961626.0,5921.82,812778.0,14.772979,970.8157
AT11,2010.0,402394.0,6658.47,283697.0,10.044717,275.24756
AT11,2011.0,1599403.0,6981.42,284581.0,10.796762,161.73363
AT11,2012.0,405465.0,7258.26,285782.0,11.290372,186.69891
AT11,2013.0,1576460.0,7404.83,286691.0,10.796601,245.52727
AT11,2014.0,1606554.0,7647.68,287416.0,11.819309,278.83243
AT11,2015.0,1570521.0,8061.08,288356.0,11.775247,186.0571
AT11,2016.0,1648665.0,8320.75,291011.0,11.236356,233.92105
AT11,2017.0,1596596.0,8610.36,291942.0,11.290328,194.74506
AT11,2018.0,1547822.0,8832.27,292675.0,11.993505,224.15067
AT11,2019.0,1462606.0,9066.41,293433.0,12.204379,219.182
AT11,2020.0,1086774.0,8773.9,294436.0,11.5510435,219.10477
AT11,2021.0,1166915.0,9421.37,296010.0,11.003262,200.22583
AT11,2022.0,1437493.0,10347.35,297583.0,11.953203,199.96738
AT11,2023.0,1418992.0,11301.03,301250.0,12.142457,259.2535
AT12,2010.0,1465506.0,46074.28,1605897.0,8.158406,1218.9045
AT12,2011.0,2939500.0,48404.67,1609474.0,9.409328,869.76245
AT12,2012.0,1572197.0,49813.28,1614455.0,9.38363,1056.1399
AT12,2013.0,2825366.0,50433.47,1618592.0,9.082464,1208.5686
AT12,2014.0,2897254.0,52041.13,1625485.0,10.263476,1288.4607
AT12,2015.0,2902921.0,53778.42,1636778.0,10.345192,949.4419
AT12,2016.0,2919849.0,56034.19,1653691.0,9.648707,1238.6265
AT12,2017.0,2832967.0,58226.59,1665753.0,9.663345,978.40216
AT12,2018.0,2949185.0,60404.56,1670668.0,10.524649,1014.4787
AT12,2019.0,3091532.0,63210.19,1677542.0,10.536929,1020.0205
AT12,2020.0,2053673.0,59310.96,1684287.0,10.046499,1155.9324
AT12,2021.0,2171358.0,63439.6,1690879.0,9.256822,1095.0795
AT12,2022.0,2799336.0,69712.39,1698796.0,10.346236,1106.6351
AT12,2023.0,2967582.0,74445.97,1718373.0,10.716643,1182.3035
AT13,2010.0,8066047.0,76942.2,1689995.0,9.698163,27.944565
AT13,2011.0,1923315.0,79361.41,1702855.0,10.821574,17.416954
AT13,2012.0,9157705.0,80734.11,1717084.0,11.049324,19.47403
AT13,2013.0,2142709.0,81911.33,1741246.0,10.633967,25.0988
AT13,2014.0,2284780.0,83467.6,1766746.0,11.795166,27.923584
AT13,2015.0,2425667.0,86162.34,1797337.0,11.888275,19.213676
AT13,2016.0,2605639.0,90444.1,1840226.0,11.267426,23.498535
AT13,2017.0,2604517.0,91606.81,1867582.0,11.388835,19.459724
AT13,2018.0,2735121.0,95891.94,1888776.0,12.234535,20.043373
AT13,2019.0,2751494.0,98542.48,1897491.0,12.169728,21.37947
AT13,2020.0,1138689.0,95759.07,1911191.0,11.589618,24.80793
AT13,2021.0,1226876.0,103536.44,1920949.0,10.869039,23.49472
AT13,2022.0,2422142.0,110821.73,1931593.0,11.989245,21.382332
AT13,2023.0,2772649.0,119962.6,1982097.0,12.393216,25.419235
AT21,2010.0,3908137.0,16743.96,557998.0,5.364602,896.1773
AT21,2011.0,2897243.0,17560.32,556718.0,6.5150146,688.62726
AT21,2012.0,4038236.0,17862.94,556027.0,6.3650713,876.3828
AT21,2013.0,2832333.0,17915.47,555473.0,6.313158,877.70844
AT21,2014.0,2749729.0,18654.09,555881.0,7.2484703,1002.2764
AT21,2015.0,2805389.0,18935.65,557641.0,7.092556,706.8663
AT21,2016.0,2891645.0,19342.28,560482.0,6.6848326,900.71295
AT21,2017.0,2900617.0,20107.36,561077.0,6.36403,860.3401
AT21,2018.0,2963251.0,21056.21,560898.0,7.0578017,868.33856
AT21,2019.0,2960677.0,21722.58,560939.0,7.017222,934.0839
AT21,2020.0,2923843.0,21178.66,561293.0,6.864732,909.22833
AT21,2021.0,2686237.0,22568.48,562089.0,5.90081,808.2514
AT21,2022.0,3032996.0,25584.97,564513.0,7.2157264,762.0821
AT21,2023.0,2914438.0,28279.81,568984.0,7.248905,1057.0726
AT22,2010.0,2495875.0,37703.98,1205045.0,6.166854,1216.5565
AT22,2011.0,4555491.0,39825.12,1206611.0,7.173712,950.7933
AT22,2012.0,2576764.0,41349.81,1208696.0,7.160142,1214.3145
AT22,2013.0,4723473.0,41298.44,1210971.0,7.069395,1267.5781
AT22,2014.0,4588315.0,42745.58,1215246.0,8.110915,1377.8829
AT22,2015.0,4670195.0,43716.71,1221570.0,7.920952,1050.5056
AT22,2016.0,4827740.0,45702.77,1232012.0,7.514892,1266.1628
AT22,2017.0,4966072.0,47880.87,1237298.0,7.291824,1139.7009
AT22,2018.0,5031140.0,49180.94,1240214.0,8.017266,1247.7122
AT22,2019.0,5149725.0,51158.67,1243052.0,8.1630125,1143.1552
AT22,2020.0,3957201.0,48992.47,1246395.0,7.7032785,1190.0997
AT22,2021.0,3670647.0,52124.55,1247077.0,7.0218873,1109.4943
AT22,2022.0,5052694.0,57562.01,1252922.0,8.117153,1136.8418
AT22,2023.0,5011759.0,61170.79,1265198.0,8.17553,1411.7727
AT31,2010.0,1875229.0,49704.74,1409253.0,7.694632,902.6432
AT31,2011.0,2342572.0,52904.61,1410222.0,8.994178,740.7598
AT31,2012.0,2110560.0,54152.01,1413866.0,8.737029,952.50037
AT31,2013.0,2369504.0,55510.36,1418498.0,8.553734,994.9112
AT31,2014.0,2354282.0,57092.72,1425422.0,9.762395,938.3316
AT31,2015.0,2432095.0,59137.46,1437251.0,9.711716,756.94653
AT31,2016.0,2489017.0,61092.38,1453948.0,9.080499,1025.8103
AT31,2017.0,2520268.0,63441.65,1465045.0,9.005584,917.243
AT31,2018.0,2639140.0,66564.8,1473576.0,10.060891,838.0442
AT31,2019.0,2743930.0,68767.6,1482095.0,9.755418,883.27026
AT31,2020.0,1949109.0,66531.34,1490279.0,9.410496,944.6783
AT31,2021.0,2029757.0,71108.47,1495608.0,8.527376,939.9214
AT31,2022.0,2765348.0,77363.0,1505140.0,9.72972,935.9093
AT31,2023.0,2871778.0,81291.54,1522825.0,10.063853,1007.04767
AT32,2010.0,11199184.0,21555.73,526730.0,3.980367,758.4934
