region,year,temperature,precipitation
AL01,2010,11.115707,1355.8635
AL01,2011,10.968773,586.8597
AL01,2012,11.402008,927.2108
AL01,2013,11.517006,1002.0313
AL01,2014,11.653899,974.4263
AL01,2015,11.602685,739.18915
AL01,2016,11.473579,1139.6617
AL01,2017,11.359936,857.8176
AL01,2018,12.073321,1041.8892
AL01,2019,11.967571,891.8104
AL01,2020,11.721833,865.5977
AL01,2021,11.20598,1087.7075
AL01,2022,11.735918,948.7667
AL01,2023,12.157991,1039.6766
AL02,2010,12.640407,407.5985
AL02,2011,12.494193,187.9921
AL02,2012,12.9393215,279.2282
AL02,2013,13.082186,270.9999
AL02,2014,13.016008,283.96606
AL02,2015,13.107188,239.62975
AL02,2016,13.132706,312.0899
AL02,2017,13.096284,231.29082
AL02,2018,13.601003,340.0116
AL02,2019,13.461976,249.06349
AL02,2020,13.267421,231.18973
AL02,2021,13.063329,327.19327
AL02,2022,13.520681,241.69731
AL02,2023,13.812347,309.04675
AL03,2010,13.7100315,1333.8813
AL03,2011,13.582288,606.1678
AL03,2012,14.0038,994.3171
AL03,2013,14.143959,985.39545
AL03,2014,13.995856,983.6616
AL03,2015,14.162965,905.9916
AL03,2016,14.165799,1033.8745
AL03,2017,14.12909,784.2188
AL03,2018,14.651146,1109.7985
AL03,2019,14.417924,892.292
AL03,2020,14.298354,741.519
AL03,2021,14.268531,1095.396
AL03,2022,14.520813,795.31573
AL03,2023,14.772979,970.8157
AT11,2010,10.044717,275.24756
AT11,2011,10.796762,161.73363
AT11,2012,11.290372,186.69891
AT11,2013,10.796601,245.52727
AT11,2014,11.819309,278.83243
AT11,2015,11.775247,186.0571
AT11,2016,11.236356,233.92105
AT11,2017,11.290328,194.74506
AT11,2018,11.993505,224.15067
AT11,2019,12.204379,219.182
AT11,2020,11.5510435,219.10477
AT11,2021,11.003262,200.22583
AT11,2022,11.953203,199.96738
AT11,2023,12.142457,259.2535
AT12,2010,8.158406,1218.9045
AT12,2011,9.409328,869.76245
AT12,2012,9.38363,1056.1399
AT12,2013,9.082464,1208.5686
AT12,2014,10.263476,1288.4607
AT12,2015,10.345192,949.4419
AT12,2016,9.648707,1238.6265
AT12,2017,9.663345,978.40216
AT12,2018,10.524649,1014.4787
AT12,2019,10.536929,1020.0205
AT12,2020,10.046499,1155.9324
AT12,2021,9.256822,1095.0795
AT12,2022,10.346236,1106.6351
AT12,2023,10.716643,1182.3035
AT13,2010,9.698163,27.944565
AT13,2011,10.821574,17.416954
AT13,2012,11.049324,19.47403
AT13,2013,10.633967,25.0988
AT13,2014,11.795166,27.923584
AT13,2015,11.888275,19.213676
AT13,2016,11.267426,23.498535
AT13,2017,11.388835,19.459724
AT13,2018,12.234535,20.043373
AT13,2019,12.169728,21.37947
AT13,2020,11.589618,24.80793
AT13,2021,10.869039,23.49472
AT13,2022,11.989245,21.382332
AT13,2023,12.393216,25.419235
AT21,2010,5.364602,896.1773
AT21,2011,6.5150146,688.62726
AT21,2012,6.3650713,876.3828
AT21,2013,6.313158,877.70844
AT21,2014,7.2484703,1002.2764
AT21,2015,7.092556,706.8663
AT21,2016,6.6848326,900.71295
AT21,2017,6.36403,860.3401
AT21,2018,7.0578017,868.33856
AT21,2019,7.017222,934.0839
AT21,2020,6.864732,909.22833
AT21,2021,5.90081,808.2514
AT21,2022,7.2157264,762.0821
AT21,2023,7.248905,1057.0726
AT22,2010,6.166854,1216.5565
AT22,2011,7.173712,950.7933
AT22,2012,7.160142,1214.3145
AT22,2013,7.069395,1267.5781
AT22,2014,8.110915,1377.8829
AT22,2015,7.920952,1050.5056
AT22,2016,7.514892,1266.1628
AT22,2017,7.291824,1139.7009
AT22,2018,8.017266,1247.7122
AT22,2019,8.1630125,1143.1552
AT22,2020,7.7032785,1190.0997
AT22,2021,7.0218873,1109.4943
AT22,2022,8.117153,1136.8418
AT22,2023,8.17553,1411.7727
AT31,2010,7.694632,902.6432
AT31,2011,8.994178,740.7598
AT31,2012,8.737029,952.50037
AT31,2013,8.553734,994.9112
AT31,2014,9.762395,938.3316
AT31,2015,9.711716,756.94653
AT31,2016,9.080499,1025.8103
AT31,2017,9.005584,917.243
AT31,2018,10.060891,838.0442
AT31,2019,9.755418,883.27026
AT31,2020,9.410496,944.6783
AT31,2021,8.527376,939.9214
AT31,2022,9.72972,935.9093
AT31,2023,10.063853,1007.04767
AT32,2010,3.980367,758.4934
AT32,2011,5.3502665,616.1165
AT32,2012,4.8200645,833.1146
AT32,2013,4.7176256,803.44006
AT32,2014,5.913411,794.97815
AT32,2015,5.6476455,655.7989
AT32,2016,5.2485223,803.48584
AT32,2017,4.92048,807.89087
AT32,2018,5.996614,696.0821
AT32,2019,5.7594213,825.4137
AT32,2020,5.5170145,801.30865
AT32,2021,4.655927,774.1871
AT32,2022,5.983583,716.0053
AT32,2023,6.11564,863.101
AT33,2010,2.2042441,1415.0753
AT33,2011,3.7829866,1164.7568
AT33,2012,3.0614464,1469.2516
AT33,2013,2.8515909,1414.5278
AT33,2014,4.1152177,1380.2195
AT33,2015,3.9201632,1184.9193
AT33,2016,3.6384802,1406.9614
AT33,2017,3.2443032,1461.8864
AT33,2018,4.2180767,1236.8564
AT33,2019,3.8627493,1505.1965
AT33,2020,3.8346827,1419.4984
AT33,2021,2.849293,1421.2151
AT33,2022,4.3261003,1306.4337
AT33,2023,4.389467,1582.0828
AT34,2010,4.3009872,237.06436
AT34,2011,5.9888916,209.12552
AT34,2012,5.222623,244.5097
AT34,2013,4.8062897,230.1979
AT34,2014,6.5382485,222.98718
AT34,2015,6.0583596,206.73657
AT34,2016,5.7265725,231.99272
AT34,2017,5.2888994,242.60425
AT34,2018,6.434934,193.49861
AT34,2019,5.958873,242.72632
AT34,2020,6.142067,218.13011
AT34,2021,4.7993774,234.40361
AT34,2022,6.439196,205.2107
AT34,2023,6.623767,271.2221
BE21,2010,9.532203,83.7307
BE21,2011,11.415704,75.27828
BE21,2012,10.588984,89.19525
BE21,2013,10.083728,81.46858
BE21,2014,11.8747015,90.49034
BE21,2015,11.169525,79.714775
BE21,2016,11.040265,88.560104
BE21,2017,11.33393,81.62117
BE21,2018,11.785424,71.395874
BE21,2019,11.514618,82.92103
BE21,2020,12.107684,77.68726
BE21,2021,10.73194,99.02382
BE21,2022,12.077842,82.22771
BE21,2023,12.102146,107.71656
BE22,2010,9.317528,235.72922
BE22,2011,11.264791,199.00513
BE22,2012,10.39171,237.80536
BE22,2013,9.916661,217.72575
BE22,2014,11.6866455,235.52513
BE22,2015,11.026886,220.82996
BE22,2016,10.76179,242.2924
BE22,2017,11.134013,232.70322
BE22,2018,11.689125,189.00108
BE22,2019,11.3663435,232.71655
BE22,2020,11.971291,203.61804
BE22,2021,10.477925,289.51453
BE22,2022,11.9182205,219.88773
BE22,2023,11.920459,289.13022
BE23,2010,9.606888,140.90538
BE23,2011,11.514021,118.78586
BE23,2012,10.621492,149.84512
BE23,2013,10.108968,125.97084
BE23,2014,11.920134,148.19241
BE23,2015,11.240521,122.276306
BE23,2016,11.093825,132.71523
BE23,2017,11.447981,120.52822
BE23,2018,11.6729145,112.98275
BE23,2019,11.5183935,131.3572
BE23,2020,12.102834,131.0997
BE23,2021,10.792053,159.34467
BE23,2022,12.058679,129.61865
BE23,2023,12.134264,161.08894
BE24,2010,9.526637,197.65663
BE24,2011,11.4276705,164.03961
BE24,2012,10.541303,203.59802
BE24,2013,10.020291,180.3608
BE24,2014,11.776657,205.28506
BE24,2015,11.123347,174.66354
BE24,2016,10.91305,196.84029
BE24,2017,11.3014555,172.90115
BE24,2018,11.7079115,161.19766
BE24,2019,11.436167,185.05287
BE24,2020,12.045021,171.56601
BE24,2021,10.623434,234.35974
BE24,2022,12.022657,181.48328
BE24,2023,12.001336,236.92035
BE25,2010,9.746763,144.15741
BE25,2011,11.561125,119.74621
BE25,2012,10.658277,161.5839
BE25,2013,10.181232,131.22177
BE25,2014,12.03768,140.37991
BE25,2015,11.352305,129.01782
BE25,2016,11.255283,130.56183
