region,year,gdp
AT11,2000,4899.22
AT12,2000,33639.67
AT13,2000,56460.46
AT21,2000,12522.22
AT22,2000,27434.06
AT31,2000,34987.54
AT32,2000,14957.82
AT33,2000,17803.83
AT34,2000,9593.23
ATZZ,2000,108.77
BG31,2000,1672.81
BG32,2000,1502.99
BG33,2000,1727.54
BG34,2000,2201.62
BG41,2000,5102.65
BG42,2000,2232.43
CY00,2000,10804.59
CZ01,2000,15172.51
CZ02,2000,7366.39
CZ03,2000,7255.28
CZ04,2000,6173.81
CZ05,2000,8798.55
CZ06,2000,9600.88
CZ07,2000,6549.14
CZ08,2000,6492.64
DE11,2000,131220.87
DE12,2000,79579.31
DE13,2000,54202.35
DE14,2000,46999.81
DE21,2000,155450.98
DE22,2000,27468.72
DE23,2000,26844.15
DE24,2000,25490.93
DE25,2000,47679.87
DE26,2000,33333.27
DE27,2000,43616.31
DE30,2000,86218.87
DE40,2000,45243.96
DE50,2000,22537.53
DE60,2000,78472.82
DE71,2000,140933.04
DE72,2000,24370.88
DE73,2000,30150.81
DE80,2000,29683.36
DE91,2000,46585.95
DE92,2000,53197.38
DE93,2000,31065.49
DE94,2000,54945.45
DEA1,2000,148518.53
DEA2,2000,126303.35
DEA3,2000,57457.64
DEA4,2000,51756.43
DEA5,2000,85928.88
DEB1,2000,33332.16
DEB2,2000,10421.03
DEB3,2000,50924.26
DEC0,2000,25712.87
DED2,2000,30170.83
DED4,2000,27672.65
DED5,2000,18786.54
DEE0,2000,42969.28
DEF0,2000,64399.1
DEG0,2000,40014.54
DK01,2000,65149.76
DK02,2000,18722.09
DK03,2000,35124.42
DK04,2000,36771.8
DK05,2000,16658.04
DKZZ,2000,5467.39
EE00,2000,6171.64
EL30,2000,62742.43
EL41,2000,1813.57
EL42,2000,4585.01
EL43,2000,6659.56
EL51,2000,5751.08
EL52,2000,19212.15
EL53,2000,3369.01
EL54,2000,3287.69
EL61,2000,6880.87
EL62,2000,2611.21
EL63,2000,6931.09
EL64,2000,7649.54
EL65,2000,6334.45
ES11,2000,33439.5
ES12,2000,14156.3
ES13,2000,7985.5
ES21,2000,40734.2
ES22,2000,11309.0
ES23,2000,4931.4
ES24,2000,20431.7
ES30,2000,113369.2
ES41,2000,35666.6
ES42,2000,22364.8
ES43,2000,11111.2
ES51,2000,122568.8
ES52,2000,62769.3
ES53,2000,16505.1
ES61,2000,86760.7
ES62,2000,16088.7
ES63,2000,948.7
ES64,2000,871.0
ES70,2000,24986.1
ESZZ,2000,571.3
FI19,2000,30268.83
FI1B,2000,50305.06
FI1C,2000,27780.51
FI1D,2000,27092.73
FI20,2000,807.04
FIZZ,2000,131.83
FR10,2000,423451.3
FRB0,2000,53116.4
FRC1,2000,34235.4
FRC2,2000,24510.7
FRD1,2000,29817.1
FRD2,2000,39462.0
FRE1,2000,74638.1
FRE2,2000,36411.7
FRF1,2000,42892.4
FRF2,2000,30425.8
FRF3,2000,45528.3
FRG0,2000,70009.7
FRH0,2000,60543.2
FRI1,2000,63029.1
FRI2,2000,13868.5
FRI3,2000,32907.9
FRJ1,2000,45423.2
FRJ2,2000,53283.8
FRK1,2000,25543.7
FRK2,2000,141954.8
FRL0,2000,103026.7
FRM0,2000,5090.4
FRY1,2000,5656.3
FRY2,2000,5440.5
FRY3,2000,2109.1
FRY4,2000,9837.1
FRY5,2000,520.1
FRZZ,2000,784.0
HR02,2000,5287.5
HR03,2000,7368.78
HR05,2000,6978.31
HR06,2000,3996.75
HU11,2000,17495.38
HU12,2000,4416.54
HU21,2000,5419.45
HU22,2000,5774.22
HU23,2000,3743.44
HU31,2000,4134.26
HU32,2000,5224.2
HU33,2000,5093.43
HUZZ,2000,0.0
IE04,2000,12970.46
IE05,2000,33326.7
IE06,2000,62198.12
ITC1,2000,98153.75
ITC2,2000,3418.08
ITC3,2000,36395.68
ITC4,2000,264759.57
ITF1,2000,23988.93
ITF2,2000,5504.65
ITF3,2000,82735.52
ITF4,2000,57315.45
