region,year,population
BG31,1990,1199004.0
BG32,1990,1150702.0
BG33,1990,1109186.0
BG34,1990,1271446.0
BG41,1990,2216396.0
BG42,1990,1820574.0
CH01,1990,1188697.0
CH02,1990,1588738.0
CH03,1990,909789.0
CH04,1990,1144899.0
CH05,1990,957931.0
CH06,1990,600773.0
CH07,1990,283023.0
CY00,1990,572655.0
EFTA,1990,11189203.0
EL30,1990,3533023.0
EL41,1990,191923.0
EL42,1990,249156.0
EL43,1990,532881.0
ES11,1990,2751383.0
ES12,1990,1102849.0
ES13,1990,527688.0
ES21,1990,2116888.0
ES22,1990,519631.0
ES23,1990,263021.0
ES24,1990,1193294.0
ES30,1990,4937156.0
ES41,1990,2559546.0
ES42,1990,1660507.0
ES43,1990,1065258.0
ES51,1990,6064741.0
ES52,1990,3841820.0
ES53,1990,705294.0
ES61,1990,6898939.0
ES62,1990,1037838.0
ES63,1990,67466.0
ES64,1990,56379.0
ES70,1990,1483529.0
EU28,1990,475187711.0
FI19,1990,1295857.0
FI1B,1990,1219864.0
FI1C,1990,1115591.0
FI1D,1990,1318840.0
FI20,1990,24231.0
FR10,1990,10644665.0
FRB0,1990,2369808.0
FRC1,1990,1609399.0
FRC2,1990,1096427.0
FRD1,1990,1390890.0
FRD2,1990,1735969.0
FRE1,1990,3961703.0
FRE2,1990,1808968.0
FRF1,1990,1622810.0
FRF2,1990,1346963.0
FRF3,1990,2304291.0
FRG0,1990,3055197.0
FRH0,1990,2794317.0
FRI1,1990,2795610.0
FRI2,1990,723460.0
FRI3,1990,1595217.0
FRJ1,1990,2115168.0
FRJ2,1990,2431081.0
FRK1,1990,1321761.0
FRK2,1990,5346407.0
FRL0,1990,4257244.0
FRM0,1990,249645.0
FRY2,1990,358406.0
FRY3,1990,113351.0
FRY4,1990,597828.0
ITC1,1990,4324173.0
ITC2,1990,114409.0
ITC3,1990,1694410.0
ITC4,1990,8837150.0
ITF1,1990,1243014.0
ITF2,1990,330382.0
ITF3,1990,5607965.0
ITF4,1990,4013227.0
ITF5,1990,611029.0
ITF6,1990,2080660.0
ITG1,1990,4969910.0
ITG2,1990,1637940.0
ITH1,1990,437426.0
ITH2,1990,445997.0
ITH3,1990,4364265.0
ITH4,1990,1200155.0
ITI1,1990,3533095.0
ITI2,1990,809605.0
ITI4,1990,5115628.0
LI00,1990,28452.0
LU00,1990,379300.0
MT00,1990,352430.0
PL21,1990,3099137.0
PL22,1990,4838670.0
PL41,1990,3256022.0
PL42,1990,1678198.0
PL43,1990,994575.0
PL51,1990,2956410.0
PL52,1990,1085255.0
PL61,1990,2061720.0
PL62,1990,1421823.0
PL63,1990,2097133.0
UKC1,1990,1153100.0
UKC2,1990,1430100.0
UKD1,1990,487000.0
UKD3,1990,2544100.0
UKD4,1990,1396700.0
UKE1,1990,865700.0
UKE2,1990,709100.0
UKE3,1990,1288600.0
UKE4,1990,2053300.0
UKF1,1990,1942700.0
UKF2,1990,1459300.0
UKF3,1990,582500.0
UKG1,1990,1154000.0
UKG2,1990,1443600.0
UKG3,1990,2618400.0
UKH1,1990,2039900.0
UKH2,1990,1504700.0
UKH3,1990,1534500.0
UKJ1,1990,1945800.0
UKJ2,1990,2427000.0
UKJ3,1990,1687200.0
