region,year,tourism_nights
AT11,2010.0,402394.0
AT12,2010.0,1465506.0
AT13,2010.0,8066047.0
AT21,2010.0,3908137.0
AT22,2010.0,2495875.0
AT31,2010.0,1875229.0
AT32,2010.0,11199184.0
AT33,2010.0,24709087.0
AT34,2010.0,4193328.0
BE10,2010.0,4242341.0
BE21,2010.0,1397748.0
BE22,2010.0,297761.0
BE23,2010.0,737126.0
BE24,2010.0,761525.0
BE25,2010.0,2053999.0
BE31,2010.0,213430.0
BE32,2010.0,362243.0
BE33,2010.0,494598.0
BE34,2010.0,155392.0
BE35,2010.0,138082.0
BG31,2010.0,47802.0
BG32,2010.0,89211.0
BG33,2010.0,3950026.0
BG34,2010.0,4787357.0
BG41,2010.0,1294866.0
BG42,2010.0,285412.0
CH01,2010.0,6035181.0
CH02,2010.0,3095376.0
CH03,2010.0,1208772.0
CH04,2010.0,3160699.0
CH05,2010.0,3657903.0
CH06,2010.0,2171151.0
CH07,2010.0,1087047.0
CY00,2010.0,12267921.0
CZ01,2010.0,10625799.0
CZ02,2010.0,318000.0
CZ03,2010.0,741812.0
CZ04,2010.0,2788592.0
CZ05,2010.0,1239305.0
CZ06,2010.0,660001.0
CZ07,2010.0,300114.0
CZ08,2010.0,207246.0
DE11,2010.0,1722864.0
DE12,2010.0,1818209.0
DE13,2010.0,2296665.0
DE14,2010.0,624063.0
DE21,2010.0,7423908.0
DE22,2010.0,448016.0
DE23,2010.0,460825.0
DE24,2010.0,288156.0
DE25,2010.0,1384805.0
DE26,2010.0,432625.0
DE27,2010.0,1241060.0
DE30,2010.0,6964453.0
DE40,2010.0,579318.0
DE50,2010.0,368855.0
DE60,2010.0,1800235.0
DE71,2010.0,4333735.0
DE72,2010.0,169101.0
DE73,2010.0,432280.0
DE80,2010.0,522936.0
DE91,2010.0,530640.0
DE92,2010.0,720288.0
DE93,2010.0,322953.0
DE94,2010.0,402749.0
DEA1,2010.0,2542091.0
DEA2,2010.0,2593372.0
DEA3,2010.0,445902.0
DEA4,2010.0,399003.0
DEA5,2010.0,1065637.0
DEB1,2010.0,1174834.0
DEB2,2010.0,795048.0
DEB3,2010.0,757561.0
DEC0,2010.0,173280.0
DED2,2010.0,793555.0
DED4,2010.0,180583.0
DED5,2010.0,436562.0
DEE0,2010.0,381519.0
DEF0,2010.0,889695.0
DEG0,2010.0,465092.0
DK01,2010.0,3423790.0
DK02,2010.0,97104.0
DK03,2010.0,513645.0
DK04,2010.0,381425.0
DK05,2010.0,458534.0
EE00,2010.0,3002781.0
EL30,2010.0,4233707.0
EL41,2010.0,995123.0
EL42,2010.0,14239334.0
EL43,2010.0,15107368.0
EL51,2010.0,573530.0
EL52,2010.0,4327859.0
EL53,2010.0,38338.0
EL54,2010.0,169516.0
EL61,2010.0,661664.0
EL62,2010.0,5924197.0
EL63,2010.0,643670.0
EL64,2010.0,499337.0
EL65,2010.0,829991.0
ES11,2010.0,1366174.0
ES12,2010.0,318404.0
ES13,2010.0,391909.0
ES21,2010.0,1369729.0
ES22,2010.0,279119.0
ES23,2010.0,134747.0
ES24,2010.0,646682.0
ES30,2010.0,9186660.0
ES41,2010.0,1220772.0
ES42,2010.0,527321.0
ES43,2010.0,267816.0
ES51,2010.0,29728843.0
ES52,2010.0,8605361.0
ES53,2010.0,42499551.0
ES61,2010.0,17200934.0
ES62,2010.0,471515.0
ES63,2010.0,35323.0
ES64,2010.0,16013.0
ES70,2010.0,39660316.0
EU28,2010.0,729182728.0
FI19,2010.0,473920.0
FI1B,2010.0,2056456.0
FI1C,2010.0,560748.0
FI1D,2010.0,1092513.0
FI20,2010.0,113278.0
FR10,2010.0,33809666.0
FR21,2010.0,831323.0
FR22,2010.0,549705.0
FR23,2010.0,535987.0
FR24,2010.0,1310478.0
FR25,2010.0,1045955.0
FR26,2010.0,1495310.0
FR30,2010.0,1430682.0
FR41,2010.0,791320.0
FR42,2010.0,2221451.0
FR43,2010.0,302906.0
FR51,2010.0,575948.0
FR52,2010.0,1074998.0
FR53,2010.0,475433.0
FR61,2010.0,1313415.0
FR62,2010.0,2889721.0
FR63,2010.0,140662.0
FR71,2010.0,4115323.0
FR72,2010.0,329074.0
FR81,2010.0,1466295.0
FR82,2010.0,7456180.0
FR83,2010.0,758176.0
FRA2,2010.0,161703.0
